,skill_id,skill_title,skill_type,skill_description,skill_description_combined
78,e7bc71d4d6ff25a449140156c0672d83b01d79ae05f1c3b0fa82ae81ee16d0ee,security architecture,tsc,"design security architectures and controls; either embedding of security principles into the design of architectures to mitigate the risks posed by new technologies and business practices, or the actual design and specification of implementable security components, along with the accompanying control measures, to meet defined business security needs","security architecture-design security architectures and controls; either embedding of security principles into the design of architectures to mitigate the risks posed by new technologies and business practices, or the actual design and specification of implementable security components, along with the accompanying control measures, to meet defined business security needs"
79,ae48776b5e3360a19e05247197ee57eec3ddfd8a1e0596758692706bebb29f08,credit risk management,tsc,"establishing the organisation's financial and credit policies and frameworks to identify, assess and manage the organisation's credit risk exposure","credit risk management-establishing the organisation's financial and credit policies and frameworks to identify, assess and manage the organisation's credit risk exposure"
80,dabf5e72a9a7e495d2b5427a449b250b0b26b6996f4baedc29fda3c99fc0682e,aircraft instruments maintenance,tsc,"maintain and repair aircraft instruments using appropriate resources and conduct functional checks. this includes maintenance of pitot-static, magnetic compass, gyroscopic, flight indicating system and engine indicating instruments.","aircraft instruments maintenance-maintain and repair aircraft instruments using appropriate resources and conduct functional checks. this includes maintenance of pitot-static, magnetic compass, gyroscopic, flight indicating system and engine indicating instruments."
81,a9e7f43830607c401fa7de53c3872585625ea12f4e1577ba10643dbf9a338f35,lashing,tsc,carry out lashing operations with proper adherence to workplace safety and health (wsh) requirements and coordination of lashing teams,lashing-carry out lashing operations with proper adherence to workplace safety and health (wsh) requirements and coordination of lashing teams
82,94930834299d2189c4bcbacf965638cde829f1db33db4d82935e74a10b456b0f,production performance management,tsc,plan and manage resources to optimise production performance as well as manage production constraint and improve manufacturing efficiency,production performance management-plan and manage resources to optimise production performance as well as manage production constraint and improve manufacturing efficiency
83,7397db7f35a1cd53d9319cffc0f704c6e8c2b8d16ba23086bdf9b0cd28af728a,early childhood curriculum design,tsc,design culturally and developmentally appropriate curriculum for holistic learning experiences for children of all levels including infants,early childhood curriculum design-design culturally and developmentally appropriate curriculum for holistic learning experiences for children of all levels including infants
84,2e85e2764dc335d0c4a3a8ebbc6ab6f9e26152145d13140e152972ba9795c13e,learning analytics,tsc,"analyse data to glean insights and drive decision making to enhance learning delivery, in accordance with governance and management policies for the handling of data at various stages of its lifecycle.","learning analytics-analyse data to glean insights and drive decision making to enhance learning delivery, in accordance with governance and management policies for the handling of data at various stages of its lifecycle."
85,915237ed7b29c6757ad3a4c0289bd78d4564bde5690485afee85e9798aa72fe3,sales channel management,tsc,"develop and implement a strategy to manage the channels and channel partners through which products and/or services are sold. this also includes the assessment and selection of suitable channel partners, establishment and expansion of alliances with channel partners and maintenance of a committed network of distributors","sales channel management-develop and implement a strategy to manage the channels and channel partners through which products and/or services are sold. this also includes the assessment and selection of suitable channel partners, establishment and expansion of alliances with channel partners and maintenance of a committed network of distributors"
86,19e2ddb23a431407378df1585a5cb4981f4030b61f054669c01c5ada3d48e2d5,product testing,tsc,test biopharmaceutical products to verify that they have been produced to the required quality and regulatory standards,product testing-test biopharmaceutical products to verify that they have been produced to the required quality and regulatory standards
87,8a53260ec3474a769d74d655aeb6fe15ea048fb792fd6ca7154ec35507765358,human resource digitalisation,tsc,innovate human resource (hr) processes and practices through digitalisation by evaluating its impact on the delivery of hr services,human resource digitalisation-innovate human resource (hr) processes and practices through digitalisation by evaluating its impact on the delivery of hr services
88,ca3f4e1f6dd4e43c8dad25144399ad7dd24a02db755dca162e1a1b971e612a8e,security surveillance management,tsc,obtain and record surveillance information accurately using appropriate surveillance equipment in accordance with relevant legal and organisational requirements,security surveillance management-obtain and record surveillance information accurately using appropriate surveillance equipment in accordance with relevant legal and organisational requirements
89,1e0a4ffddd41fee9ef97a39611f1c86aa4e9eb37861e2a8293107f1bdcc68210,maintenance strategy management,tsc,formulate and implement organisational maintenance strategies to enhance performance and operational reliability,maintenance strategy management-formulate and implement organisational maintenance strategies to enhance performance and operational reliability
90,3025a9c0c8157826ef07dc6e3049a19f1b5591b3c22c83b6a1c77cc87e12b4d7,food safety and hygiene,tsc,"implement and observe food safety and hygiene policies, identify areas for improvement following hygiene audits, develop and audit food safety and hygiene management systems.","food safety and hygiene-implement and observe food safety and hygiene policies, identify areas for improvement following hygiene audits, develop and audit food safety and hygiene management systems."
91,98cae56cdb78b352c61cdb5292b45a0f0c3190b119c7288bbdda5bbc4c94e548,marine equipment material selection,tsc,select appropriate materials to be used for marine equipment and components based on material property applications and industry requirements,marine equipment material selection-select appropriate materials to be used for marine equipment and components based on material property applications and industry requirements
92,06cfa72e10bfd7638b66da762874a2e0475f69f180acb5b828c85cb97e79c73a,customer service delivery,tsc,anticipate customer needs and provide quality customer services as ambassadors of the airports,customer service delivery-anticipate customer needs and provide quality customer services as ambassadors of the airports
93,af30665bc049f9ac9c7f52cc84f878078fa1d638f81838538bcad3130bdebed6,trading analysis,tsc,develop market research reports to support trading strategies,trading analysis-develop market research reports to support trading strategies
94,ab52261c0edb4645471934d21f1abfc43d18a57503aeb157482c177f2a2b2cf6,instrumentation and control system design,tsc,design instrumentation and control systems to measure and control the process variables of operating equipment and systems by interpreting equipment and system parameters,instrumentation and control system design-design instrumentation and control systems to measure and control the process variables of operating equipment and systems by interpreting equipment and system parameters
